userId,movieId,rating
777,6171962,2
874,6530705,2
911,6619609,2
947,6604434,2
1024,6369360,2
1024,6603097,2
1197,6516748,2
1403,6583402,2
1528,6631959,2
2018,6640463,2
2168,6568417,2
2168,6593584,2
2168,6608000,2
2168,6636754,5
2189,6073848,2
2189,6552486,2
2644,6590939,2
2644,6606868,2
2644,6619630,2
2716,5528497,5
2716,6423169,2
2716,6632235,5
2856,5934576,2
2923,5964787,2
2923,6639775,2
2956,6602137,2
3014,6640997,2
3385,5808205,2
3385,6574404,2
3417,5997221,2
3417,6391595,2
3417,6552181,2
3447,6640593,2
3447,6641604,2
3590,6377973,2
3615,6283680,2
3945,6634026,5
4178,6282959,2
4178,6601671,2
4178,6624862,2
4178,6639577,2
4178,6641236,2
4757,6571186,2
4786,6641469,2
5064,6008729,2
5174,6559992,2
5234,6114948,2
5234,6446559,2
5241,5165163,2
5241,5740674,5
5241,5969864,5
5241,6217227,2
5241,6311910,2
5241,6436001,5
5241,6583807,5
5241,6600484,5
5241,6611857,2
5241,6632424,5
5241,6638572,5
5241,6640103,2
5241,6640332,2
5241,6641035,5
5241,6641511,5
5241,6642617,5
5241,6642743,2
5241,6643256,5
5271,6642687,2
5338,6206643,2
5338,6253791,5
5338,6349376,5
5338,6464592,5
5338,6626670,2
5338,6632304,5
5338,6634168,2
5338,6635265,2
5404,6637075,2
5404,6637408,2
5425,6630576,2
5536,6641040,2
5612,6583924,2
5616,6640306,2
5782,6626764,2
5782,6641279,2
5916,6578803,2
6397,6166700,2
6397,6246861,2
6397,6270627,2
6397,6287658,2
6397,6315634,2
6397,6382358,2
6397,6558395,2
6397,6567530,2
6397,6591455,2
6397,6603884,2
6397,6606328,5
6397,6612054,2
6397,6614797,2
6397,6620108,2
6397,6623681,2
6397,6624128,2
6397,6624668,5
6397,6629949,2
6397,6640142,2
6397,6640945,2
6397,6641228,5
6397,6641375,2
6493,6579391,2
6493,6630623,2
6580,5692972,2
6580,6110284,2
7022,6502145,2
7022,6613445,5
7022,6623818,2
7022,6623898,2
7022,6631126,2
7022,6636302,2
7218,6151623,2
7218,6327651,2
7218,6637222,5
7218,6641591,2
7220,6175480,2
7293,6619129,2
7384,5843397,2
7384,6399705,2
7384,6547797,2
7384,6558189,2
7384,6607102,2
7384,6620173,2
7384,6630552,2
7384,6639963,2
7384,6640265,2
7384,6640640,2
7384,6640657,2
7384,6640771,2
7384,6640788,2
7384,6640858,2
7384,6641135,2
7384,6641193,2
7384,6641561,2
7384,6641686,2
7390,6069676,2
7390,6244068,2
7390,6614667,2
7390,6619579,2
7390,6623976,2
7390,6640126,2
7408,5713663,2
7408,6439379,2
7408,6589354,2
7408,6640260,2
7408,6641147,2
7408,6641510,2
7520,6635197,2
7919,6255079,2
7919,6609058,2
7919,6609951,2
8438,6622702,2
8438,6640063,5
8467,5088722,2
8467,5560659,2
8467,5744775,2
8467,6415627,2
8467,6506652,2
8467,6577552,2
8467,6623997,2
8497,6624018,2
8722,5897924,2
9312,6299801,2
9336,6632626,2
9337,6637174,2
9337,6640197,2
9337,6641143,2
9337,6641299,2
9337,6641470,2
9337,6641535,5
9874,6640507,2
9874,6640692,5
10067,6592970,2
10888,5421517,2
10888,6615108,2
10888,6619938,2
10888,6635960,2
10970,4929884,2
10970,6570012,2
10970,6634324,2
11011,5842003,2
11011,6640080,2
11011,6640995,2
11036,5837625,2
11036,5842886,2
11036,5933265,2
11036,6210145,2
11036,6433266,2
11036,6466756,2
11036,6470064,2
11036,6535620,5
11036,6549633,2
11036,6566322,2
11036,6595579,2
11036,6595861,2
11036,6605823,2
11036,6606364,2
11036,6606398,2
11036,6619649,2
11036,6629500,2
11036,6640428,2
11036,6640493,2
11048,6318915,2
11048,6360610,2
11048,6466173,5
11048,6513931,5
11048,6550749,2
11048,6605891,2
11048,6615012,5
11048,6640374,2
11050,6087148,2
11050,6499727,2
11188,6596284,2
11188,6629854,2
11188,6640563,2
11188,6641454,2
11188,6641577,2
11188,6641675,2
11222,5914743,2
11222,6067135,2
11222,6447426,2
11222,6620115,2
11222,6639875,2
11228,6602125,2
11350,6376667,2
11575,5973838,2
11575,6015843,2
11575,6387517,2
11575,6417982,2
11575,6475337,2
11575,6504174,2
11575,6541051,2
11575,6589991,2
11575,6598175,2
11575,6629243,2
11575,6639775,2
11575,6640123,5
11575,6640641,2
11575,6641247,2
11575,6641534,2
11742,6618520,2
11742,6635390,2
12158,6628301,2
12210,5660264,5
12210,5924472,5
12210,6255255,5
12210,6571186,5
12210,6620183,5
12210,6641189,5
12406,5976986,2
12406,6641279,2
13245,6316335,2
13245,6637100,2
13245,6639775,2
13245,6641247,2
13628,6361610,2
13628,6568445,2
13628,6603895,2
13628,6619751,2
13628,6627112,2
13628,6640401,2
13963,6140570,2
13963,6584784,2
